,player_id,name,current_club_id,current_club_name,country_of_citizenship,country_of_birth,city_of_birth,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,agent_name,contract_expiration_date,current_club_domestic_competition_id,first_name,last_name,player_code,image_url,last_season,url
157,43742,Péter Czvitkovics,601,Kv Kortrijk,Hungary,Hungary,Székesfehérvár  ,1983-02-10,Attack,Attacking Midfield,Right,178,,900000.0,,,BE1,Péter,Czvitkovics,peter-czvitkovics,https://img.a.transfermarkt.technology/portrait/header/43742-1480446611.jpg?lm=1,2012,https://www.transfermarkt.co.uk/peter-czvitkovics/profil/spieler/43742
158,33314,Mario Carevic,601,Kv Kortrijk,Croatia,Jugoslawien (SFR),Makarska  ,1982-03-29,Midfield,Left Midfield,Left,186,,1100000.0,,,BE1,Mario,Carevic,mario-carevic,https://img.a.transfermarkt.technology/portrait/header/33314-1620466831.jpg?lm=1,2012,https://www.transfermarkt.co.uk/mario-carevic/profil/spieler/33314
173,70305,Paolo Grbac,498,Ksc Lokeren,Croatia,Jugoslawien (SFR),Pula  ,1990-07-09,Attack,Attacking Midfield,Both,180,50000.0,175000.0,,,BE1,Paolo,Grbac,paolo-grbac,https://img.a.transfermarkt.technology/portrait/header/70305-1607622297.jpg?lm=1,2012,https://www.transfermarkt.co.uk/paolo-grbac/profil/spieler/70305
174,39825,Tiko,498,Ksc Lokeren,DR Congo,Zaire,Kananga  ,1980-12-12,Midfield,Defensive Midfield,Right,175,,800000.0,,,BE1,,Tiko,tiko,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/tiko/profil/spieler/39825
175,249238,Ilias Labiad,498,Ksc Lokeren,Belgium,Belgium,Sint-Agatha-Berchem  ,1992-11-19,Defender,Right-Back,,174,,,,2023-06-30,BE1,Ilias,Labiad,ilias-labiad,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ilias-labiad/profil/spieler/249238
176,34158,Hassan El Mouataz,498,Ksc Lokeren,Morocco,Morocco,Rabat  ,1981-09-21,Defender,Left-Back,Left,179,,1200000.0,,,BE1,Hassan,El Mouataz,hassan-el-mouataz,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/hassan-el-mouataz/profil/spieler/34158
177,34809,Ibrahima Gueyé,498,Ksc Lokeren,Senegal,Senegal,Dakar  ,1978-02-19,Defender,Centre-Back,Both,190,,3250000.0,Latchezar Tanev,,BE1,Ibrahima,Gueyé,ibrahima-gueye,https://img.a.transfermarkt.technology/portrait/header/34809-1641745891.png?lm=1,2012,https://www.transfermarkt.co.uk/ibrahima-gueye/profil/spieler/34809
178,193803,Ruben Ketels,498,Ksc Lokeren,Belgium,,,1992-08-29,Defender,,,178,,50000.0,,,BE1,Ruben,Ketels,ruben-ketels,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ruben-ketels/profil/spieler/193803
179,227367,Joppe Janssens,498,Ksc Lokeren,Belgium,,,1994-02-09,Defender,,,0,,50000.0,,,BE1,Joppe,Janssens,joppe-janssens,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/joppe-janssens/profil/spieler/227367
1522,92747,Sébastien Didier,28643,Waasland Beveren,France,,,1984-07-11,Attack,Centre-Forward,,196,,250000.0,,,BE1,Sébastien,Didier,sebastien-didier,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/sebastien-didier/profil/spieler/92747
1523,24458,Elyaniv Barda,1184,Krc Genk,Israel,Israel,Beer Sheva  ,1981-12-15,Attack,Centre-Forward,Left,178,,3000000.0,,,BE1,Elyaniv,Barda,elyaniv-barda,https://img.a.transfermarkt.technology/portrait/header/24458-1618410647.jpg?lm=1,2012,https://www.transfermarkt.co.uk/elyaniv-barda/profil/spieler/24458
1526,81650,Saladin Said,204,Lierse Sk,Ethiopia,Ethiopia,Asosa  ,1988-10-29,Attack,Centre-Forward,,183,,400000.0,Alain Dougnaglo,,BE1,Saladin,Said,saladin-said,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/saladin-said/profil/spieler/81650
1527,235742,Jordy Kamba Kalonga,172,Rsc Charleroi,Belgium,Belgium,Rochefort  ,1993-03-18,Attack,Centre-Forward,Right,190,,25000.0,,,BE1,Jordy,Kamba Kalonga,jordy-kamba-kalonga,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jordy-kamba-kalonga/profil/spieler/235742
1528,170926,Mynor Escoe,172,Rsc Charleroi,Costa Rica,Costa Rica,San José  ,1991-04-06,Attack,Centre-Forward,Right,175,,300000.0,,,BE1,Mynor,Escoe,mynor-escoe,https://img.a.transfermarkt.technology/portrait/header/170926-1609872092.jpg?lm=1,2012,https://www.transfermarkt.co.uk/mynor-escoe/profil/spieler/170926
1529,133235,Mory-Fallo Keïta,172,Rsc Charleroi,Guinea,Guinea,Conakry  ,1992-12-13,Attack,Centre-Forward,Right,190,50000.0,100000.0,ZICOZIFA SM,,BE1,Mory-Fallo,Keïta,mory-fallo-keita,https://img.a.transfermarkt.technology/portrait/header/133235-1438177626.JPG?lm=1,2012,https://www.transfermarkt.co.uk/mory-fallo-keita/profil/spieler/133235
1530,76597,Joaquín Boghossian,520,Cercle Brugge,Uruguay,Uruguay,Montevideo  ,1987-06-19,Attack,Centre-Forward,Right,197,,3000000.0,,,BE1,Joaquín,Boghossian,joaquin-boghossian,https://img.a.transfermarkt.technology/portrait/header/s_76597_409_2012_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/joaquin-boghossian/profil/spieler/76597
1531,39720,Viktor Bopp,172,Rsc Charleroi,Germany,UdSSR,Kiew  ,1989-10-31,Midfield,Central Midfield,,0,,300000.0,,,BE1,Viktor,Bopp,viktor-bopp,https://img.a.transfermarkt.technology/portrait/header/39720-1633507809.jpg?lm=1,2012,https://www.transfermarkt.co.uk/viktor-bopp/profil/spieler/39720
1532,57840,Pedro,172,Rsc Charleroi,Spain,Spain,Gijón  ,1984-03-10,Midfield,Central Midfield,Right,180,200000.0,1600000.0,,,BE1,,Pedro,pedro,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/pedro/profil/spieler/57840
1533,96193,Grégory Lazitch,172,Rsc Charleroi,Belgium,Belgium,Charleroi  ,1992-05-26,Midfield,Defensive Midfield,Left,180,,200000.0,,2023-06-30,BE1,Grégory,Lazitch,gregory-lazitch,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/gregory-lazitch/profil/spieler/96193
1540,45953,Leandro,172,Rsc Charleroi,Brazil,Brazil,São Paulo  ,1985-03-31,Midfield,Defensive Midfield,Right,182,,400000.0,,,BE1,,Leandro,leandro,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/leandro/profil/spieler/45953
1548,33440,Adrian Cristea,3057,Standard Luttich,Romania,Romania,Iaşi  ,1983-11-30,Attack,Left Winger,Right,179,,3200000.0,,,BE1,Adrian,Cristea,adrian-cristea,https://img.a.transfermarkt.technology/portrait/header/s_33440_301_2013_10_02_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/adrian-cristea/profil/spieler/33440
1549,56657,Maor Buzaglo,3057,Standard Luttich,Israel,Israel,Holon  ,1988-01-14,Attack,Right Winger,Right,176,,2200000.0,Hellen Gough - Me TMA,,BE1,Maor,Buzaglo,maor-buzaglo,https://img.a.transfermarkt.technology/portrait/header/56657-1620464433.jpg?lm=1,2012,https://www.transfermarkt.co.uk/maor-buzaglo/profil/spieler/56657
1550,55231,Luis Manuel Seijas,3057,Standard Luttich,Venezuela,Venezuela,Valencia  ,1986-06-23,Attack,Attacking Midfield,Left,176,125000.0,1500000.0,Tavares Agency LLC,,BE1,Luis Manuel,Seijas,luis-manuel-seijas,https://img.a.transfermarkt.technology/portrait/header/55231-1648913474.jpg?lm=1,2012,https://www.transfermarkt.co.uk/luis-manuel-seijas/profil/spieler/55231
1551,67648,Ignacio González,3057,Standard Luttich,Uruguay,Uruguay,Montevideo  ,1982-05-14,Attack,Attacking Midfield,Right,178,,1000000.0,,,BE1,Ignacio,González,ignacio-gonzalez,https://img.a.transfermarkt.technology/portrait/header/67648-1473707151.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ignacio-gonzalez/profil/spieler/67648
1553,168171,Stéfano Délogu,3057,Standard Luttich,Belgium,,,1994-02-12,Defender,Left-Back,Left,0,,,,,BE1,Stéfano,Délogu,stefano-delogu,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/stefano-delogu/profil/spieler/168171
1558,101912,Samuel Fabris,172,Rsc Charleroi,Belgium,Belgium,Sambreville  ,1991-01-30,Midfield,Defensive Midfield,Right,176,,400000.0,,2024-06-30,BE1,Samuel,Fabris,samuel-fabris,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/samuel-fabris/profil/spieler/101912
1559,111983,Matan Ohayon,172,Rsc Charleroi,Israel,,,1986-02-25,Defender,Right-Back,Right,181,,500000.0,,,BE1,Matan,Ohayon,matan-ohayon,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/matan-ohayon/profil/spieler/111983
1560,38400,Jean-Christophe Vergerolle,172,Rsc Charleroi,France,France,Paris  ,1985-07-12,Defender,Left-Back,Left,188,350000.0,800000.0,,,BE1,Jean-Christophe,Vergerolle,jean-christophe-vergerolle,https://img.a.transfermarkt.technology/portrait/header/38400-1487601379.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jean-christophe-vergerolle/profil/spieler/38400
1561,59713,Omar Jarun,172,Rsc Charleroi,Palestine,Kuwait,Kuwait City  ,1983-12-10,Defender,Centre-Back,Right,196,,250000.0,"Stone Sports Management, LLC",,BE1,Omar,Jarun,omar-jarun,https://img.a.transfermarkt.technology/portrait/header/59713-1602503832.jpg?lm=1,2012,https://www.transfermarkt.co.uk/omar-jarun/profil/spieler/59713
1562,276505,Ward Stubbe,520,Cercle Brugge,Belgium,,,1993-02-16,Attack,Right Winger,,0,,,,,BE1,Ward,Stubbe,ward-stubbe,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ward-stubbe/profil/spieler/276505
1563,45501,Cyprien Baguette,172,Rsc Charleroi,Belgium,Belgium,La Louvière  ,1989-12-05,Goalkeeper,,,188,,650000.0,,,BE1,Cyprien,Baguette,cyprien-baguette,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/cyprien-baguette/profil/spieler/45501
1564,86271,Kevin Janssens,520,Cercle Brugge,Belgium,,,1986-05-29,Attack,Attacking Midfield,Left,175,,500000.0,,2023-06-30,BE1,Kevin,Janssens,kevin-janssens,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/kevin-janssens/profil/spieler/86271
1565,182437,Brecht Van Der Beke,520,Cercle Brugge,Belgium,,,1993-08-21,Midfield,Central Midfield,Right,0,300000.0,100000.0,,,BE1,Brecht,Van Der Beke,brecht-van-der-beke,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/brecht-van-der-beke/profil/spieler/182437
1566,9596,Oleg Yashchuk,520,Cercle Brugge,Ukraine,UdSSR,"Grybova, Ternopil Region  ",1977-10-26,Attack,Left Winger,Right,181,,1750000.0,,,BE1,Oleg,Yashchuk,oleg-yashchuk,https://img.a.transfermarkt.technology/portrait/header/9596-1537870055.jpg?lm=1,2012,https://www.transfermarkt.co.uk/oleg-yashchuk/profil/spieler/9596
1567,24260,Elvedin Dzinic,172,Rsc Charleroi,Slovenia,Jugoslawien (SFR),Zavidovici  ,1985-08-25,Defender,Centre-Back,Right,185,,600000.0,,,BE1,Elvedin,Dzinic,elvedin-dzinic,https://img.a.transfermarkt.technology/portrait/header/24260-1664629697.png?lm=1,2012,https://www.transfermarkt.co.uk/elvedin-dzinic/profil/spieler/24260
1568,10244,Bernt Evens,520,Cercle Brugge,Belgium,Belgium,Neerpelt  ,1978-11-09,Defender,Left-Back,Left,189,500000.0,700000.0,,,BE1,Bernt,Evens,bernt-evens,https://img.a.transfermarkt.technology/portrait/header/10244-1616774057.jpg?lm=1,2012,https://www.transfermarkt.co.uk/bernt-evens/profil/spieler/10244
1569,18418,Anthony Portier,520,Cercle Brugge,Belgium,Belgium,Oostende  ,1982-06-01,Defender,Centre-Back,Right,183,,800000.0,,,BE1,Anthony,Portier,anthony-portier,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/anthony-portier/profil/spieler/18418
1570,231401,Mitchell Braafhart,520,Cercle Brugge,Netherlands,,,1995-01-01,Goalkeeper,,Right,0,,50000.0,,,BE1,Mitchell,Braafhart,mitchell-braafhart,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/mitchell-braafhart/profil/spieler/231401
1571,140778,Koenraad Hendrickx,520,Cercle Brugge,Belgium,,,1993-05-26,Defender,Centre-Back,Right,188,,100000.0,,,BE1,Koenraad,Hendrickx,koenraad-hendrickx,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/koenraad-hendrickx/profil/spieler/140778
1572,18807,Behrang Safari,58,Rsc Anderlecht,Sweden,Iran,Teheran  ,1985-02-09,Defender,Left-Back,Left,181,500000.0,2500000.0,,,BE1,Behrang,Safari,behrang-safari,https://img.a.transfermarkt.technology/portrait/header/18807-1449585948.jpg?lm=1,2012,https://www.transfermarkt.co.uk/behrang-safari/profil/spieler/18807
1573,86054,Osama Hawsawi,58,Rsc Anderlecht,Saudi Arabia,United Arab Emirates,Ras Al-Khaimah  ,1984-03-31,Defender,Centre-Back,Right,187,1000000.0,1500000.0,,,BE1,Osama,Hawsawi,osama-hawsawi,https://img.a.transfermarkt.technology/portrait/header/86054-1484820666.jpg?lm=1,2012,https://www.transfermarkt.co.uk/osama-hawsawi/profil/spieler/86054
1574,33868,Roland Juhász,58,Rsc Anderlecht,Hungary,Hungary,Cegléd  ,1983-07-01,Defender,Centre-Back,Right,194,,6000000.0,Vladan Filipovic,,BE1,Roland,Juhász,roland-juhasz,https://img.a.transfermarkt.technology/portrait/header/33868-1570647501.jpg?lm=1,2012,https://www.transfermarkt.co.uk/roland-juhasz/profil/spieler/33868
1575,14933,Milan Jovanovic,58,Rsc Anderlecht,Serbia,Jugoslawien (SFR),Bajina Basta  ,1981-04-18,Attack,Left Winger,Left,183,,8500000.0,,,BE1,Milan,Jovanovic,milan-jovanovic,https://img.a.transfermarkt.technology/portrait/header/14933-1537882350.jpg?lm=1,2012,https://www.transfermarkt.co.uk/milan-jovanovic/profil/spieler/14933
1576,168887,Gianni Van Landschoot,520,Cercle Brugge,Belgium,,,1992-08-21,Defender,,,0,,,,,BE1,Gianni,Van Landschoot,gianni-van-landschoot,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/gianni-van-landschoot/profil/spieler/168887
1577,134695,Bedi Mbenza,58,Rsc Anderlecht,DR Congo,Zaire,Milange  ,1984-09-11,Midfield,Defensive Midfield,Right,182,,500000.0,,,BE1,Bedi,Mbenza,bedi-mbenza,https://img.a.transfermarkt.technology/portrait/header/s_134695_58_2012_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/bedi-mbenza/profil/spieler/134695
1578,110723,Nathaniel Lagrou,2282,Fc Brugge,Belgium,,,1992-05-09,Attack,Attacking Midfield,Right,172,,100000.0,,2023-06-30,BE1,Nathaniel,Lagrou,nathaniel-lagrou,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/nathaniel-lagrou/profil/spieler/110723
1579,225736,Arthur Hannes,2282,Fc Brugge,Belgium,Belgium,Leuven  ,1994-08-10,Goalkeeper,,,185,,25000.0,,2023-06-30,BE1,Arthur,Hannes,arthur-hannes,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/arthur-hannes/profil/spieler/225736
1580,168175,Frederik Spruyt,1184,Krc Genk,Belgium,,,1995-05-23,Defender,Centre-Back,,0,,,SportPlus,2023-06-30,BE1,Frederik,Spruyt,frederik-spruyt,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/frederik-spruyt/profil/spieler/168175
1581,42989,Torben Joneleit,1184,Krc Genk,Germany,Monaco,Monaco  ,1987-05-17,Defender,Centre-Back,,0,,1500000.0,,,BE1,Torben,Joneleit,torben-joneleit,https://img.a.transfermarkt.technology/portrait/header/42989-1635007209.jpg?lm=1,2012,https://www.transfermarkt.co.uk/torben-joneleit/profil/spieler/42989
1582,276305,Jordy Huysmans,1184,Krc Genk,Belgium,,,1996-06-04,Goalkeeper,,,189,,50000.0,,,BE1,Jordy,Huysmans,jordy-huysmans,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jordy-huysmans/profil/spieler/276305
1583,123894,Lens Annab,204,Lierse Sk,Belgium,Belgium,Maaseik  ,1988-07-20,Attack,Right Winger,Right,183,,700000.0,Govan Sports,,BE1,Lens,Annab,lens-annab,https://img.a.transfermarkt.technology/portrait/header/123894-1491986884.jpg?lm=1,2012,https://www.transfermarkt.co.uk/lens-annab/profil/spieler/123894
1584,51224,Daylon Claasen,204,Lierse Sk,South Africa,South Africa,Klerksdorp  ,1990-01-28,Attack,Right Winger,Right,170,,1200000.0,GFA,2023-06-30,BE1,Daylon,Claasen,daylon-claasen,https://img.a.transfermarkt.technology/portrait/header/51224-1470406513.jpg?lm=1,2012,https://www.transfermarkt.co.uk/daylon-claasen/profil/spieler/51224
1585,75544,Uros Palibrk,204,Lierse Sk,Slovenia,Slovenia,Kranj  ,1992-03-22,Attack,Left Winger,Right,178,,150000.0,Zmiya s.r.o,,BE1,Uros,Palibrk,uros-palibrk,https://img.a.transfermarkt.technology/portrait/header/75544-1439822600.jpg?lm=1,2012,https://www.transfermarkt.co.uk/uros-palibrk/profil/spieler/75544
1586,184399,Noël Nyason,204,Lierse Sk,Ghana,,,1993-01-16,Attack,Left Winger,Left,175,100000.0,150000.0,MBA SPORTS,,BE1,Noël,Nyason,noel-nyason,https://img.a.transfermarkt.technology/portrait/header/184399-1591303863.jpg?lm=1,2012,https://www.transfermarkt.co.uk/noel-nyason/profil/spieler/184399
1587,13902,Hussein Yasser,204,Lierse Sk,Qatar,Qatar,Doha  ,1982-10-09,Attack,Attacking Midfield,Both,170,400000.0,1400000.0,Sport Makers,,BE1,,Hussein Yasser,hussein-yasser,https://img.a.transfermarkt.technology/portrait/header/13902-1618409313.jpg?lm=1,2012,https://www.transfermarkt.co.uk/hussein-yasser/profil/spieler/13902
1588,82377,Dodo Elgabas,204,Lierse Sk,Egypt,Egypt,Port Said  ,1988-01-01,Attack,Centre-Forward,Right,184,200000.0,750000.0,,2024-06-30,BE1,,Dodo Elgabas,dodo-elgabas,https://img.a.transfermarkt.technology/portrait/header/82377-1538312305.jpg?lm=1,2012,https://www.transfermarkt.co.uk/dodo-elgabas/profil/spieler/82377
1589,37481,Ahmed Abou-Mosalem,204,Lierse Sk,Egypt,Egypt,Kairo  ,1981-07-26,Midfield,Left Midfield,Left,177,,750000.0,,,BE1,,Ahmed Abou-Mosalem,ahmed-abou-mosalem,https://img.a.transfermarkt.technology/portrait/header/37481-1553527064.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ahmed-abou-mosalem/profil/spieler/37481
1590,203409,Nick Van De Walle,204,Lierse Sk,Belgium,Belgium,Brecht  ,1996-01-01,Midfield,Central Midfield,Right,174,,,,,BE1,Nick,Van De Walle,nick-van-de-walle,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/nick-van-de-walle/profil/spieler/203409
1591,39556,Ashour El Teki,204,Lierse Sk,Egypt,,,1980-11-28,Attack,Attacking Midfield,Left,166,,300000.0,,,BE1,Ashour,El Teki,ashour-el-teki,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ashour-el-teki/profil/spieler/39556
1592,266511,Jasper Sols,204,Lierse Sk,Belgium,Belgium,Lier  ,1995-06-30,Midfield,Defensive Midfield,,0,,175000.0,Oneteam-Onedream,2024-06-30,BE1,Jasper,Sols,jasper-sols,https://img.a.transfermarkt.technology/portrait/header/266511-1655836751.PNG?lm=1,2012,https://www.transfermarkt.co.uk/jasper-sols/profil/spieler/266511
1593,187726,Dylan Carton,204,Lierse Sk,Belgium,,,1993-01-10,Midfield,Defensive Midfield,Right,180,,50000.0,,,BE1,Dylan,Carton,dylan-carton,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/dylan-carton/profil/spieler/187726
1594,8245,Lance Davids,204,Lierse Sk,South Africa,South Africa,"Cape Town, Western Cape  ",1985-04-11,Midfield,Defensive Midfield,,0,,700000.0,ExtraTime S.L.,,BE1,Lance,Davids,lance-davids,https://img.a.transfermarkt.technology/portrait/header/8245-1595236077.jpg?lm=1,2012,https://www.transfermarkt.co.uk/lance-davids/profil/spieler/8245
1595,13052,Kris De Wree,204,Lierse Sk,Belgium,Belgium,Sint-Gillis-Waas  ,1981-05-21,Defender,Right-Back,Right,184,,700000.0,,,BE1,Kris,De Wree,kris-de-wree,https://img.a.transfermarkt.technology/portrait/header/13052-1616772080.jpg?lm=1,2012,https://www.transfermarkt.co.uk/kris-de-wree/profil/spieler/13052
1596,108104,Ibrahim Ayew,204,Lierse Sk,Ghana,Ghana,Tamale  ,1988-04-16,Defender,Right-Back,Both,178,50000.0,700000.0,Nathan Fish,2023-06-30,BE1,Ibrahim,Ayew,ibrahim-ayew,https://img.a.transfermarkt.technology/portrait/header/s_108104_204_2012_1.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ibrahim-ayew/profil/spieler/108104
1597,152858,Nick Spaenhoven,204,Lierse Sk,Belgium,,,1993-05-11,Defender,Left-Back,Left,0,,150000.0,,2023-06-30,BE1,Nick,Spaenhoven,nick-spaenhoven,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/nick-spaenhoven/profil/spieler/152858
1598,70870,Miguel Dachelet,204,Lierse Sk,Belgium,Belgium,Liegi  ,1988-01-16,Defender,Centre-Back,Left,181,,650000.0,,2023-06-30,BE1,Miguel,Dachelet,miguel-dachelet,https://img.a.transfermarkt.technology/portrait/header/70870-1635937904.jpg?lm=1,2012,https://www.transfermarkt.co.uk/miguel-dachelet/profil/spieler/70870
1599,72829,Daouda Diakité,204,Lierse Sk,Burkina Faso,Burkina Faso,Ouagadougou  ,1983-03-30,Goalkeeper,,Right,183,,250000.0,Alain Dougnaglo,,BE1,Daouda,Diakité,daouda-diakite,https://img.a.transfermarkt.technology/portrait/header/72829-1578305101.png?lm=1,2012,https://www.transfermarkt.co.uk/daouda-diakite/profil/spieler/72829
1600,106605,Mostafa Shebeita,204,Lierse Sk,Egypt,Egypt,Banha  ,1987-05-10,Midfield,Defensive Midfield,Right,181,,400000.0,,,BE1,Mostafa,Shebeita,mostafa-shebeita,https://img.a.transfermarkt.technology/portrait/header/106605-1645283031.jpg?lm=1,2012,https://www.transfermarkt.co.uk/mostafa-shebeita/profil/spieler/106605
